5'nucleotidase increased	5'nucléotidase augmentée
Bronchopulmonary aspergillosis	Aspergillose bronchopulmonaire
Bronchopulmonary aspergillosis allergic	Aspergillose bronchopulmonaire allergique
Bronchopulmonary disease	Maladie bronchopulmonaire
Bronchopulmonary dysplasia	Dysplasie bronchopulmonaire
Bronchospasm	Bronchospasme
Bronchospasm aggravated	Bronchospasme aggravé
Bronchospasm paradoxical	Bronchospasme paradoxal
Bronchostenosis	Bronchosténose
Brown tumour	Tumeur brune
Brown urine	Urine brune
Brucellosis	Brucellose
Brugada syndrome	Syndrome de Brugada
Bruton's agammaglobulinaemia	Agammaglobulinémie de Bruton
Bruxism	Bruxisme
Buccal inflammation	Inflammation buccale
Buccal mucosa ulceration	Ulcération de la muqueuse buccale
Buccal mucosal roughening	Rudesse muqueuse buccale
Buccoglossal syndrome	Syndrome buccoglosse
Bucking	Bucking
Budd-Chiari syndrome	Syndrome de Budd-Chiari
Buffalo hump	Bosse du bison
Bulimia	Boulimie
Bulimia nervosa	Boulimie nerveuse
Bullous conditions	Conditions bulleuses
Bullous eruption	Éruption bulleuse
Bullous impetigo	Impétigo bulleux
Bullous keratopathy	Kératopathie bulleuse
Bullous lichen planus	Lichen plan bulleux
Bundle branch block	Bloc de branche 
Bundle branch block left	Bloc de branche gauche
Bundle branch block right	Bloc de branche droit
Burkitt's lymphoma	Lymphome de Burkitt
Burn	Brûlure
Burning anal	Anal brûlant
Burning feeling vagina	Sensation de brûlure au vagin
Burning foot	Pied brûlant
Burning in throat	Brûlure dans la gorge
Burning mouth	Bouche brûlante
Burning mouth syndrome	Syndrome de la bouche brûlante
Burning rectal	Brûlure rectale
Burning sensation	Sensation de brulure
Burning sensation in eye	Sensation de brûlure dans les yeux
Burning tongue	Langue brûlante
Burns second degree	Brûlure au deuxième degré
Burns third degree	Brûlure au troisième degré
Bursitis	Bursite
Buttock pain	Douleur aux fesses
C-reactive protein increased	Augmentation de la protéine C réactive
C1 esterase deficiency acquired	Déficit en C1 estérase acquis
Ca++ increased	Ca ++ augmenté
Cachexia	Cachexie
Caecitis	Caecitis
Cafe au lait spots	Taches de café au lait
Calcaneal spur	Éperon calcanéen
Calcification metastatic	Calcification métastatique
Calcinosis	Calcinose
Calciphylaxis	Calciphylaxie
Calcium abnormal NOS	Calcium anormal SAI
Calcium deficiency	Carence en calcium
Calcium intoxication	Intoxication au calcium
Calcium low	Faible en calcium
Calcium metabolism disorder	Trouble du métabolisme du calcium
Calculus bladder	Vessie de calcul
Calculus of kidney	Calcul rénal
Calculus ureteric	Calcul urétéral
Calculus urinary	Calcul urinaire
Call-Fleming syndrome	Syndrome de Call-Fleming
Campylobacter gastroenteritis	Gastro-entérite à Campylobacter
Cancer pain	Douleur cancéreuse
Candida albicans infection	Infection à Candida albicans
Candida cervicitis	Candida cervicite
Candida infection	Infection à Candida
Candida sepsis	Septicémie à Candida
Candidemia	Candidémie
Candiduria	Candidurie
Cannula site reaction	Réaction au site de la canule
Capillary fragility	Fragilité capillaire
Capillary fragility increased	Augmentation de la fragilité capillaire
Capillary leak syndrome	Syndrome de fuite capillaire
Capillary permeability	Perméabilité capillaire
Capsulitis	Capsulite
Carbamoyl phosphate synthetase deficiency	Déficit en carbamoyl phosphate synthétase
Carbohydrate craving	Envie de glucides
Carbohydrate tolerance decreased	Tolérance aux glucides diminuée
Carbon dioxide decreased	Dioxyde de carbone diminué
Carbon dioxide increased	Augmentation du dioxyde de carbone
Carbon monoxide poisoning	Empoisonnement au monoxyde de carbone
Carbuncle	Escarboucle
Carcinogenicity	Cancérogénicité
Carcinoid syndrome	Syndrome carcinoïde
Carcinoid tumour	Tumeur carcinoïde
Carcinoma	Carcinome
Carcinoma breast	Cancer du sein
Carcinoma colon	Côlon cancéreux
Carcinoma endometrial metastatic	Carcinome endométrial métastatique
Carcinoma in situ	Carcinome in situ
Carcinoma in situ of breast ductal	Carcinome in situ du sein canalaire
Carcinoma of lung	Carcinome du poumon
Carcinoma of tongue	Carcinome de la langue
Carcinoma stomach	Carcinome de l'estomavc
Carcinoma testes	Carcinome des testicules
Carcinomatosis	Carcinomatose
Cardiac amyloidosis	Amylose cardiaque
Cardiac aneurysm	Anévrisme cardiaque
Cardiac arrest	Arrêt cardiaque
Cardiac death	Mort cardiaque
Cardiac discomfort	Gêne cardiaque
Cardiac disorder	Trouble cardiaque
Cardiac enzymes increased	Augmentation des enzymes cardiaques
Cardiac failure	Insuffisance cardiaque
Cardiac failure acute	Insuffisance cardiaque aiguë
Cardiac failure chronic	Insuffisance cardiaque chronique
Cardiac failure congestive	Insuffisance cardiaque congestive
Cardiac failure high output	Insuffisance cardiaque à haut débit
Cardiac failure right	Insuffisance cardiaque droite
Cardiac fibrillation	Fibrillation cardiaque
Cardiac flutter	Flutter cardiaque
Cardiac hypertrophy	Hypertrophie cardiaque
Cardiac index	Index cardiaque
Cardiac murmur	Souffle cardiaque
Cardiac output decreased	Débit cardiaque diminué
Cardiac output increased	Augmentation du débit cardiaque
Cardiac pain	Douleur cardiaque
Cardiac septal defect	Anomalie septale cardiaque
Cardiac syncope	Syncope cardiaque
Cardiac tamponade	Tamponnade cardiaque
Cardiac valve disease	Maladie de la valve cardiaque
Cardiac valve replacement complication	Complication de remplacement de la valve cardiaque
Cardio-respiratory arrest	Arrêt cardio-respiratoire
Cardio-respiratory distress	Détresse cardio-respiratoire
Cardioactive drug level above therapeutic	Niveau de médicament cardioactif supérieur à la thérapeutique
Cardioactive drug level increased	Augmentation du niveau de médicaments cardioactifs
Cardiogenic shock	Choc cardiogénique
Cardiomegaly	Cardiomégalie
Cardiomyopathy	Cardiomyopathie
Cardiomyopathy secondary NOS	Cardiomyopathie secondaire SAI
Cardiopulmonary failure	Insuffisance cardio-pulmonaire
Cardiotoxicity	Cardiotoxicité
Cardiovascular disorder	Trouble cardiovasculaire
Cardiovascular insufficiency	Insuffisance cardiovasculaire
Carditis	Cardite
Carnitine deficiency	Carence en carnitine
Carotene decreased	Carotène diminué
Carotid arteriosclerosis	Artériosclérose carotidienne
Carotid artery disease	Maladie de l'artère carotide
Carotid artery occlusion	Occlusion de l'artère carotide
Carotid artery stenosis	Sténose de l'artère carotide
Carotid artery thrombosis	Thrombose de l'artère carotide
Carotid bruit	Bruit carotidien
Carotid pulse	Pouls carotidien
Carotid sinus hypersensitivity	Hypersensibilité au sinus carotidien
Carotid sinus syndrome	Syndrome du sinus carotidien
Carpal tunnel syndrome	Syndrome du canal carpien
Carpo-pedal spasm	Spasme carpo-pédale
Cat scratch disease	Maladie des griffes du chat
Catalepsy	Catalepsie
Cataplexy	Cataplexie
Cataract	Cataracte
Cataract conditions	Conditions de cataracte
Cataract cortical	Cataracte corticale
Cataract diabetic	Cataracte diabétique
Cataract nuclear	Cataracte nucléaire
Cataract specified	Cataracte spécifiée
Cataract subcapsular	Cataracte sous-capsulaire
Cataract traumatic	Cataracte traumatique
Cataract unilateral	Cataracte unilatérale
Catatonia	Catatonie
Catatonic reaction	Réaction catatonique
Catheter blockage	Blocage du cathéter
Catheter infection	Infection par cathéter
Catheter related complication	Complication liée au cathéter
Catheter related infection	Infection liée au cathéter
Catheter sepsis	Septicémie par cathéter
Catheter site cellulitis	Cellulite au site du cathéter
Catheter site erythema	Érythème au site du cathéter
Catheter site haemorrhage	Hémorragie au site du cathéter
Catheter site infection	Infection du site du cathéter
Catheter site inflammation	Inflammation du site du cathéter
Catheter site pain	Douleur au site du cathéter
Catheter site phlebitis	Phlébite du site du cathéter
Catheter site related reaction	Réaction liée au site du cathéter
Catheter thrombosis	Thrombose du cathéter
Cauda equina syndrome	Syndrome de la Cauda equina
Causalgia	Causalgie
Caustic injury	Lésion caustique
CD4 lymphocytes decreased	Lymphocytes CD4 diminués
Cell death	Mort cellulaire
Cellulitis	Cellulite
Cellulitis gangrenous	Cellulite gangreneuse
Cellulitis staphylococcal	Cellulite staphylococcique
Central diabetes insipidus	Diabète insipide central
Central line infection	Infection de la ligne centrale
Central nervous system disorder	Trouble du système nerveux central
Central nervous system haemorrhage	Hémorragie du système nerveux central
Central nervous system infection	Infection du système nerveux central
Central nervous system lesion	Lésion du système nerveux central
Central nervous system leukaemia	Leucémie du système nerveux central
Central nervous system neoplasm	Tumeur du système nerveux central
Central nervous system stimulation	Stimulation du système nerveux central
Central obesity	Obésité centrale
Central precocious puberty	Puberté précoce centrale
Central retinal vein occlusion	Occlusion de la veine rétinienne centrale
Central scotoma	Scotome central
Central serous retinopathy	Rétinopathie séreuse centrale
Cerebellar ataxia	Ataxie cérébelleuse
Cerebellar atrophy	Atrophie cérébelleuse
Cerebellar infarction	Infarctus cérébelleux
Cerebellar oedema	Oedème cérébelleux
Cerebellar syndrome	Syndrome cérébelleux
Cerebral arterial aneurysm	Anévrisme artériel cérébral
Cerebral arteriosclerosis	Artériosclérose cérébrale
Cerebral arteritis	Artérite cérébrale
Cerebral artery embolism	Embolie artérielle cérébrale
Cerebral artery stenosis	Sténose de l'artère cérébrale
Cerebral atrophy	Atrophie cérébrale
Cerebral dysfunction	Dysfonctionnement cérébral
Cerebral haematoma	Hématome cérébral
Cerebral haemorrhage	Hémorragie cérébrale
Cerebral hypoperfusion	Hypoperfusion cérébrale
Cerebral infarction	Infarctus cérébral
Cerebral ischaemia	Ischémie cérébrale
Cerebral palsy	Paralysie cérébrale
Cerebral thrombosis	Thrombose cérébrale
Cerebral toxoplasmosis	Toxoplasmose cérébrale
Cerebral vasoconstriction	Vasoconstriction cérébrale
Cerebral venous thrombosis	Thrombose veineuse cérébrale
Cerebration impaired	Cérébration altérée
Cerebritis	Cérébrite
Cerebrosclerosis	Cérébrosclérose
Cerebrospinal fluid leakage	Fuite de liquide céphalo-rachidien
Cerebrospinal fluid rhinorrhea	Rhinorrhée du liquide céphalorachidien
Cerebrovascular accident	Accident vasculaire cérébral
Cerebrovascular disorder	Trouble cérébrovasculaire
Cerebrovascular infarction	Infarctus cérébrovasculaire
Cerebrovascular insufficiency	Insuffisance cérébrovasculaire
Cerumen impaction	Impaction du cérumen
Ceruminosis	La céruminose
Cervical adenitis	Adénite cervicale
Cervical discharge	Écoulement cervical
Cervical dysplasia	Dysplasie cervicale
Cervical incompetence	Incompétence cervicale
Cervical polyp	Polype cervical
Cervical smear test positive	Test de frottis cervical positif
Cervical vertebral fracture	Fracture vertébrale cervicale
Cervicitis	Cervicite
Cervicobrachial syndrome	Syndrome cervicobrachial
Cervix carcinoma	Carcinome du col de l'utérus
Cervix carcinoma stage 0	Carcinome du col utérin stade 0
Cervix disorder	Trouble du col de l'utérus
Cervix haemorrhage uterine	Hémorragie cervicale utérine
Cervix neoplasm	Tumeur du col de l'utérus
Chalazion	Chalazion
Chalky taste	Goût crayeux
Chancroid	Chancre
Change in blood pressure	Changement de la pression artérielle
Change of bowel habit	Changement d'habitude intestinale
Chapped lips	Lèvres gercées
Chapped skin	Peau gercée
Cheilitis	Cheilitis
Cheilosis	Cheilosis
Chemical burn	Brûlure chimique
Chemical conjunctivitis	Conjonctivite chimique
Chemical cystitis	Cystite chimique
Chemical eye injury	Lésion oculaire chimique
Chemical injury	Lésions chimiques
Chemical peritonitis	Péritonite chimique
Chemical phlebitis	Phlébite chimique
Chemosis	Chemosis
Chest X-ray abnormal	Radiographie thoracique anormale
Chest X-ray normal	Radiographie thoracique normale
Chest discomfort	Gêne thoracique
Chest heaviness	Lourdeur de poitrine
Chest mass NOS	Masse thoracique NOS
Chest pain	Douleur de poitrine
Chest pain exertional	Douleur thoracique liée à l'effort
Chest pressure	Pression thoracique
Chest pressure sensation of	Sensation de pression thoracique
Chest tightness	Oppression thoracique
Chest wall pain	Douleur à la paroi thoracique
Cheyne-Stokes respiration	Respiration de Cheyne-Stokes
Childhood schizophrenia	Schizophrénie infantile
Chills	Frissons
Chlamydia trachomatis infection	Infection à Chlamydia trachomatis
Chlamydial infection	Infection à Chlamydia
Chloasma	Chloasma
Chloropsia	Chloropsie
Choking	Étouffement
Choking sensation	Sensation d'étouffement
Cholangiocarcinoma	Cholangiocarcinome
Cholangitis	Cholangite
Cholangitis sclerosing	Cholangite sclérosante
Cholecystitis	Cholécystite
Cholecystitis acute	Cholécystite aiguë
Cholecystitis and cholelithiasis	Cholécystite et cholélithiase
Cholecystitis chronic	Cholécystite chronique
Cholecystitis infective	Cholécystite infectieuse
Cholecystolithiasis	Cholécystolithiase
Cholelithiasis	Cholélithiase
Cholera	Choléra
Cholestasis	Cholestase
Cholestasis extrahepatic	Cholestase extrahépatique
Cholestasis intrahepatic	Cholestase intrahépatique
Cholestatic liver disease	Maladie cholestatique du foie
Cholestatic liver injury	Lésion hépatique cholestatique
Cholesterol serum elevated	Sérum de cholestérol élevé
Cholinergic crisis	Crise cholinergique
Cholinergic syndrome	Syndrome cholinergique
Choluria	Cholurie
Chondrocalcinosis	Chondrocalcinose
Chondrodystrophy	Chondrodystrophie
Chondrolysis	Chondrolyse
Chondropathy	Chondropathie
Chorea	Chorée
Choreiform	Choréiforme
Choreoathetoid movements	Mouvements choréoathétoïdes
Choreoathetosis	Choréoathétose
Choriocarcinoma	Choriocarcinome
Chorioretinitis	Choriorétinite
Chorioretinopathy	Choriorétinopathie
Choroidal detachment	Détachement choroïdien
Choroidal effusion	Épanchement choroïdien
Choroidal neovascularisation	Néovascularisation choroïdienne
Choroidal nevus	Naevus choroïdien
Choroiditis	Choroïdite
Chromatopsia	Chromatopsie
Chromaturia	Chromaturie
Chromoblastomycosis	Chromoblastomycose
Chromosomal mutation	Mutation chromosomique
Chromosome analysis abnormal	Analyse chromosomique anormale
Chronic UTI	UTI chronique
Chronic allograft nephropathy	Néphropathie d'allogreffe chronique
Chronic anal fissure	Fissure anale chronique
Chronic angle-closure glaucoma	Glaucome chronique à angle fermé
Chronic anxiety	Anxiété chronique
Chronic atrial fibrillation	Fibrillation auriculaire chronique
Chronic conjunctivitis	Conjonctivite chronique
Chronic diarrhea	Diarrhée chronique
Chronic eczema	Eczéma chronique
Chronic eosinophilic leukaemia	Leucémie éosinophile chronique
Chronic fatigue syndrome	Syndrome de fatigue chronique
Chronic fever	Fièvre chronique
Chronic gastritis	Gastrite chronique
Chronic graft versus host disease	Maladie chronique du greffon contre l'hôte
Chronic hepatic failure	Insuffisance hépatique chronique
Chronic hepatitis	Hépatite chronique
Chronic hepatitis B	Hépatite B chronique
Chronic hepatitis C	Hépatite C chronique
Chronic idiopathic constipation	Constipation idiopathique chronique
Chronic insomnia	Insomnie chronique
Chronic interstitial nephritis	Néphrite interstitielle chronique
Chronic iron overload	Surcharge chronique en fer
Chronic kidney disease	Maladie rénale chronique
Chronic leukaemia	Leucémie chronique
Chronic liver disease	Maladie chronique du foie
Chronic lymphocytic leukaemia	Leucémie lymphoïde chronique
Chronic lymphocytic leukaemia refractory	Leucémie lymphoïde chronique réfractaire
Chronic migraine	Migraine chronique
Chronic mucocutaneous candidiasis	Candidose muco-cutanée chronique
Chronic myeloid leukaemia	Leucémie myéloïde chronique
Chronic myelomonocytic leukaemia	Leucémie myélomonocytaire chronique
Chronic nephritis	Néphrite chronique
Chronic obstructive pulmonary disease	Maladie pulmonaire obstructive chronique
Chronic open angle glaucoma	Glaucome chronique à angle ouvert
Chronic pain	Douleur chronique
Chronic peptic ulcer	Ulcère gastro-duodénal chronique
Chronic periodontitis	Parodontite chronique
Chronic phase chronic myeloid leukemia	Leucémie myéloïde chronique en phase chronique
Chronic prostatitis	Prostatite chronique
Chronic pulmonary histoplasmosis	Histoplasmose pulmonaire chronique
Chronic renal insufficiency	Insuffisance rénale chronique
Chronic respiratory disease	Maladie respiratoire chronique
Chronic schizophrenia	Schizophrénie chronique
Chronic sinusitis	Sinusite chronique
Chronic spontaneous urticaria	Urticaire chronique spontanée
Chronic suppurative otitis media	Otite moyenne chronique suppurée
Chronic thromboembolic pulmonary hypertension	Hypertension pulmonaire thromboembolique chronique
Chronic venous insufficiency	Insuffisance veineuse chronique
Chrysiasis	Chrysiasis
Chylothorax	Chylothorax
Chyluria	Chylurie
Cigarette smoker	Fumeur de cigarettes
Ciliary muscle spasm	Spasme musculaire ciliaire
Cinchonism	Cinchonisme
Circadian rhythm sleep disorder	Trouble du sommeil du rythme circadien
Circulatory depression	Dépression circulatoire
Circulatory insufficiency	Insuffisance circulatoire
Circumoral oedema	Oedème circumoral
Circumoral paresthesia	Paresthésie circumorale
Circumscribed scleroderma	Sclérodermie circonscrite
Cirrhosis alcoholic	Cirrhose alcoolique
Cirrhosis liver postnecrotic	Cirrhose hépatique post-nécrotique
Citrate toxicity	Toxicité du citrate
Classical migraine	Migraine classique
Claudication	Claudication
Claustrophobia	Claustrophobie
Clavicle fracture	Fracture de la clavicule
Cleft lip	Fente labiale
Cleft palate	Fente palatine
Climacteric	Climatère
Clinical flare reaction	Réaction de poussée clinique
Clitoral engorgement	Engorgement clitoridien
Cloacal exstrophy	Exstrophie cloacale
Clonic convulsion	Convulsion clonique
Clonic movements	Mouvements cloniques
Clonus	Clonus
Clostridial infection	Infection clostridienne
Clostridium colitis	Colite à Clostridium
Clostridium difficile colitis	Colite à Clostridium difficile
Clostridium difficile infection	Infection à Clostridium difficile
Clotting	Coagulation
Cloudy urine	Urine trouble
Clubbing	Hippocratisme digital
Clumsiness	Maladresse
Cluster headache	Maux de tête en grappe
CNS depression NOS	Dépression du SNC NSA
CNS toxicity	Toxicité pour le SNC
CNS ventriculitis	Ventriculite du SNC
Coagulation factor decreased	Facteur de coagulation diminué
Coagulation necrosis	Nécrose de coagulation
Coagulation test abnormal	Test de coagulation anormal
Coagulation time prolonged	Temps de coagulation prolongé
Coagulopathy	Coagulopathie
Coarctation of the aorta	Coarctation de l'aorte
Coccidioidomycosis	Coccidioïdomycose
Coccydynia	Coccydynie
Cochlear toxicity	Toxicité cochléaire
Coeliac disease	Maladie coeliaque
Cognitive deterioration	Détérioration cognitive
Cognitive disorder	Trouble cognitif
Cognitive impairment	Déficience cognitive
Cogwheel rigidity	Rigidité de la roue dentée
Coital bleeding	Saignement coïtal
Coitus interruptus	Coitus interruptus
Cold feet	Pieds froids
Cold hands	Mains froides
Cold hands & feet	Mains et pieds froids
Cold intolerance	Intolérance au froid
Cold sweat	Sueur froide
Cold symptoms	Symptômes du rhume
Cold urticaria	Urticaire froide
Coldness	Froideur
Colitis	Colite
Colitis ischaemic	Colite ischémique
Colitis microscopic	Colite microscopique
Colitis ulcerative	Colite ulcéreuse
Collagen disorder	Trouble du collagène
Collagen-vascular disease	Maladie vasculaire-collagène
Collapse	Effondrement
Colon adenoma	Adénome du côlon
Colon atonic	Colon atonique
Colon cancer	Cancer du colon
Colon cancer stage III	Cancer du côlon stade III
Colon obstruction	Obstruction du côlon
Colonic abscess	Abcès colique
Colonic polyp	Polype colique
Colonic pseudo-obstruction	Pseudo-obstruction colique
Color vision change	Changement de vision des couleurs
Colorectal cancer	Cancer colorectal
Colorectal cancer metastatic	Cancer colorectal métastatique
Colorectal carcinoma	Carcinome colorectal
Colour blindness	Daltonisme
Colour blindness acquired	Daltonisme acquis
Colpocele	Colpocele
Coma	Coma
Coma hepatic	Coma hépatique
Combined hyperlipidaemia	Hyperlipidémie combinée
Comedone	Comedone
Common cold	Rhume
Common wart	Verrue commune
Community acquired infection	Infection acquise dans la communauté
Community acquired pneumonia	Pneumonie acquise dans la communauté
Compartment syndrome	Syndrome du compartiment
Compensated cirrhosis	Cirrhose compensée
Complete hearing loss	Perte auditive complète
Completed suicide	Suicide complété
Complex partial seizures	Crises partielles complexes
Complex regional pain syndrome	Syndrome douloureux régional complexe
Complication of delivery	Complication de livraison
Complication of device insertion	Complication de l'insertion de l'appareil
Complication of pregnancy	Complication de la grossesse
Complications of transplant surgery	Complications de la greffe
Compression fracture	Fracture par compression
Compulsions	Compulsions
Compulsive personality disorder	Trouble de la personnalité compulsive
Compulsive sexual behaviour	Comportement sexuel compulsif
Compulsive shopping	Achats compulsifs
Concussion	Commotion cérébrale
Condition aggravated	Condition aggravée
Conduct disorder	Trouble des conduites
Conduction disorder	Trouble de la conduction
Condyloma	Condylome
Confusion aggravated	Confusion aggravée
Confusion postoperative	Confusion postopératoire
Confusional state	État confusionnel
Congenital absence of bile ducts	Absence congénitale de voies biliaires
Congenital adrenal hyperplasia	Hyperplasie surrénale congénitale
Congenital anomaly	Anomalie congénitale
Congenital aplastic anaemia	Anémie aplasique congénitale
Congenital arterial malformation	Malformation artérielle congénitale
Congenital central nervous system anomaly	Anomalie congénitale du système nerveux central
Congenital clubfoot	Pied bot congénital
Congenital cystic kidney disease	Insuffisance rénale kystique congénitale
Congenital cytomegalovirus infection	Infection congénitale à cytomégalovirus
Congenital diaphragmatic hernia	Hernie diaphragmatique congénitale
Congenital eye disorder	Trouble oculaire congénital
Congenital foot malformation	Malformation congénitale du pied
Congenital generalised lipodystrophy	Lipodystrophie généralisée congénitale
Congenital genital malformation	Malformation génitale congénitale
Congenital genitourinary abnormality	Anomalie génito-urinaire congénitale
Congenital herpes simplex infection	Infection à herpès simplex congénital
Congenital hydronephrosis	Hydronéphrose congénitale
Congenital hypertrophic pyloric stenosis	Sténose pylorique hypertrophique congénitale
Congenital hypothyroidism	Hypothyroïdie congénitale
Congenital joint malformation	Malformation articulaire congénitale
Congenital limb hyperextension	Hyperextension du membre congénital
Congenital megacolon	Mégacôlon congénital
Congenital musculoskeletal anomaly	Anomalie musculo-squelettique congénitale
Congenital oral malformation	Malformation buccale congénitale
Congenital pulmonary valve atresia	Atrésie des valves pulmonaires congénitales
Congenital renal cyst	Kyste rénal congénital
Congenital skin disorder	Trouble congénital de la peau
Congenital syphilis	Syphilis congénitale
Congenital tricuspid valve atresia	Atrésie valvulaire congénitale tricuspide
Congenital vesicoureteric reflux	Reflux vésico-urétéral congénital
Congestive cardiomyopathy	Cardiomyopathie congestive
Conjoined twins	Siamois
Conjunctival bleb	Bulle conjonctivale
Conjunctival congestion	Congestion conjonctivale
Conjunctival cyst	Kyste conjonctival
Conjunctival discharge	Écoulement conjonctival
Conjunctival disorder	Trouble conjonctival
Conjunctival follicles	Follicules conjonctivaux
Conjunctival haemorrhage	Hémorragie conjonctivale
Conjunctival hyperaemia	Hyperémie conjonctivale
Conjunctival irritation	Irritation conjonctivale
Conjunctival oedema	Oedème conjonctival
Conjunctival ulcer	Ulcère conjonctival
Conjunctival xerosis	Xérose conjonctivale
Conjunctivitis	Conjonctivite
Conjunctivitis allergic	Conjonctivite allergique
Conjunctivitis bacterial	Conjonctivite bactérienne
Conjunctivitis exacerbated	Conjonctivite exacerbée
Conjunctivitis infective	Conjonctivite infectieuse
Conjunctivitis papillary	Conjonctivite papillaire
Connective tissue disorder	Trouble du tissu conjonctif
Connective tissue inflammation	Inflammation du tissu conjonctif
Consciousness abnormal	Conscience anormale
Consciousness clouding	Conscience opacifiante
Constipation	Constipation
Constipation aggravated	Constipation aggravée
Constipation chronic	Constipation chronique
Contact lens intolerance	Intolérance aux lentilles de contact
Contraceptive device complication	Complication du dispositif contraceptif
Contracted bladder	Vessie contractée
Contraction skeletal muscle	Muscle squelettique de contraction
Contralateral breast cancer	Cancer du sein controlatéral
Contrast media reaction	Réaction des milieux de contraste
Contusion	Contusion
Convalescence	Convalescence
Convalescent	Convalescent
Conversion disorder	Conversion desordonee
Convulsion	Convulsion
Convulsion in childhood	Convulsion dans l'enfance
Convulsion neonatal	Convulsion néonatale
Convulsions aggravated	Convulsions aggravées
Convulsions generalised	Convulsions généralisées
Convulsive disorder	Trouble convulsif
Convulsive seizure	Crise convulsive
Cooley's anemia	Anémie de Cooley
Coombs direct test positive	Test de Coombs direct positif
Coombs positive haemolytic anaemia	Anémie hémolytique positive de Coombs
Coombs test positive	Test de Coombs positif
Coordination abnormal	Coordination anormale
Coordination disturbance	Perturbation de la coordination
COPD exacerbation	Exacerbation de la MPOC
Copper deficiency	Carence en cuivre
Cor pulmonale	Cor pulmonale
Corneal abrasion	Abrasion de la cornée
Corneal calcification	Calcification cornéenne
Corneal decompensation	Décompensation cornéenne
Corneal defect	Défaut cornéen
Corneal degeneration	Dégénérescence cornéenne
Corneal deposits	Dépôts cornéens
Corneal disorder	Trouble cornéen
Corneal dystrophy	Dystrophie cornéenne
Corneal epithelium defect	Défaut d'épithélium cornéen
Corneal epithelium disorder	Trouble de l'épithélium cornéen
Corneal erosion	Érosion cornéenne
Corneal infiltrates	Infiltrats cornéens
Corneal irritation	Irritation cornéenne
Corneal lesion	Lésion cornéenne
Corneal oedema	Oedème cornéen
Corneal opacity	Opacité cornéenne
Corneal perforation	Perforation cornéenne
Corneal pigmentation	Pigmentation cornéenne
Corneal scar	Cicatrice cornéenne
Corneal sensitivity decreased	La sensibilité cornéenne a diminué
Corneal staining	Coloration cornéenne
Corneal stromal edema	Oedème stromal cornéen
Corneal thinning	Amincissement de la cornée
Corneal ulcer marginal	Ulcère cornéen marginal
Corns	Corns
Coronary artery disease	Maladie de l'artère coronaire
Coronary artery disease aggravated	Maladie coronarienne aggravée
Coronary artery insufficiency	Insuffisance coronarienne
Coronary artery occlusion	Occlusion de l'artère coronaire
Coronary artery stenosis	Sténose de l'artère coronaire
Coronary artery thrombosis	Thrombose de l'artère coronaire
Coronary heart disease	Maladie coronarienne
Coronary stent thrombosis	Thrombose du stent coronaire
Corpus callosum agenesis	Agénésie du corps calleux
Corpus luteum cyst	Kyste du corps jaune
Corynebacterium infection	Infection à Corynebacterium
Coryza	Coryza
Costochondritis	Costochondrite
Costovertebral angle tenderness	Sensibilité de l'angle costovertebral
Cotton wool spots	Taches de coton
Cough	La toux
Cough decreased	Toux diminuée
Cough increased	Toux augmentée
Cough suppression	Suppression de la toux
Coxalgia	Coxalgie
Cramp muscle	Crampe musculaire
Cramp of limb	Crampe de membre
Cramps of lower extremities	Crampes des membres inférieurs
Cranial nerve disorder	Trouble du nerf crânien
Cranial nerve paralysis	Paralysie du nerf crânien
Craniopharyngioma	Craniopharyngiome
Craniosynostosis	Craniosynostose
Creatine increased	Augmentation de la créatine
Creatine phosphokinase increased	Augmentation de la créatine phosphokinase
Creatine phosphokinase normal	Créatine phosphokinase normale
Creatine phosphokinase serum increased	Augmentation du sérum de créatine phosphokinase
Creatinine abnormal NOS	Créatinine NOS anormale
Creatinine increased	Augmentation de la créatinine
Creatinine low	Faible taux de créatinine
Creatinine normal	Créatinine normale
Creatinine renal clearance decreased	Clairance rénale de la créatinine diminuée
Crohn's disease	Maladie de Crohn
Crohn's ileocolitis	Iléocolite de Crohn
Crohns disease aggravated	Aggravation de la maladie de Crohn
Cross reactive drug hypersensitivity	Hypersensibilité croisée aux médicaments
Cross resistance	Résistance croisée
Croup	Croupe
Croup infectious	Croup infectieux
Crying	Pleurs
Crying abnormal	Pleurs anormaux
Cryptococcal cutaneous infection	Infection cutanée cryptococcique
Cryptococcosis	Cryptococcose
Cryptorchism	Cryptorchisme
Cryptosporidiosis infection	Infection par cryptosporidiose
Crystal urine present	Présence d'urine cristalline
Crystalluria	Cristallurie
Crystalluria calcium	Cristallurie calcium
Culture negative	Culture négative
Culture positive	Culture positive
Cushing's syndrome	syndrome de Cushing
Cushingoid	Cushingoïde
Cutaneous T-cell lymphoma	Lymphome cutané à cellules T
Cutaneous hypersensitivity	Hypersensibilité cutanée
Cutaneous larva migrans	Larva migrans cutanée
Cutaneous lupus erythematosus	Lupus érythémateux cutané
Cutaneous sarcoidosis	Sarcoïdose cutanée
Cutaneous vasculitis	Vascularite cutanée
Cutis anserina	Cutis anserina
Cutis laxa	Cutis laxa
Cyanopsia	Cyanopsie
Cyanosis	Cyanose
Cyanosis peripheral	Cyanose périphérique
Cyanotic heart disease	Maladie cardiaque cyanotique
Cyclic vomiting syndrome	Syndrome de vomissements cycliques
Cyclitis	Cyclite
Cyclophoria	Cyclophorie
